UF,CIDADE,CEP INICIAL,CEP FINAL,VALOR,PRAZO
SC,BOMBINHASSC,88215000,88219999,"319,55",7
SC,BOTUVERASC,88295000,88299999,"319,55",7
SC,BRACODOTROMBUDOSC,89178000,89179999,"319,55",7
SC,BRUSQUESC,88350000,88359999,"319,55",2
SC,CAMBORIUSC,88340000,88349999,"319,55",4
SC,CANELINHASC,88230000,88239999,"319,55",3
SC,CAPAOALTOSC,88548000,88549999,"319,55",5
SC,CHAPADAODOLAGEADOSC,88407000,88409999,"319,55",7
SC,CORREIAPINTOSC,88535000,88537999,"319,55",3
SC,DONAEMMASC,89155000,89156999,"319,55",7
SC,DOUTORPEDRINHOSC,89126000,89129999,"319,55",7
SC,GASPARSC,89110000,89114999,"319,55",3
SC,GUABIRUBASC,88360000,88369999,"319,55",3
SC,HERVALDOESTESC,89610000,89612999,"319,55",3
SC,IBIRAMASC,89140000,89144999,"319,55",4
SC,ILHOTASC,88320000,88329999,"319,55",3
SC,IMBUIASC,88440000,88442999,"319,55",7
SC,INDAIALSC,89130000,89134999,"319,55",3
SC,IRINEOPOLISSC,89440000,89459999,"319,55",7
SC,ITAJAISC,88300000,88319999,"319,55",3
SC,ITAPEMASC,88220000,88229999,"319,55",4
SC,ITAPOASC,89249000,89249999,"319,55",5
SC,ITUPORANGASC,88400000,88406999,"319,55",5
SC,JOSEBOITEUXSC,89145000,89147999,"319,55",7
SC,LAGESSC,88500000,88534999,"319,55",2
SC,LAURENTINOSC,89170000,89171999,"319,55",5
SC,LEOBERTOLEALSC,88445000,88449999,"319,55",7
SC,LONTRASSC,89182000,89183999,"319,55",4
SC,LUIZALVESSC,89115000,89119999,"319,55",7
SC,MAJORGERCINOSC,88260000,88269999,"319,55",7
SC,MIRIMDOCESC,89194000,89195999,"319,55",7
SC,NAVEGANTESSC,88370000,88379999,"319,55",3
SC,NOVATRENTOSC,88270000,88294999,"319,55",5
SC,PAINELSC,88543000,88544999,"319,55",3
SC,PENHASC,88385000,88389999,"319,55",5
SC,PETROLANDIASC,88430000,88439999,"319,55",7
SC,POMERODESC,89107000,89107999,"319,55",3
SC,PORTOBELOSC,88210000,88214999,"319,55",4
SC,PORTOUNIAOSC,89400000,89419999,"319,55",3
SC,POUSOREDONDOSC,89172000,89175999,"319,55",4
SC,PRESIDENTEGETULIOSC,89150000,89154999,"319,55",4
SC,PRESIDENTENEREUSC,89184000,89185999,"319,55",7
SC,RIODOCAMPOSC,89198000,89198999,"319,55",7
